uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q12571,Edmond Privat,1889,membership,http://www.wikidata.org/entity/Q12349306,International Central Committee of the Esperanto Movement,1,esperanto organization,1860-1889,['esperanto organization']
http://www.wikidata.org/entity/Q12571,Edmond Privat,1889,employment,http://www.wikidata.org/entity/Q541548,University of Neuchâtel,2,comprehensive university | public university,1860-1889,"['comprehensive university', 'public university']"
http://www.wikidata.org/entity/Q12571,Edmond Privat,1889,membership,http://www.wikidata.org/entity/Q684758,Swiss Esperanto Society,1,national section of uea,1860-1889,['national section of uea']
http://www.wikidata.org/entity/Q126617,Werner Krusche,1917,employment,http://www.wikidata.org/entity/Q152838,University of Göttingen,5,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,1890-1919,"['campus university', 'comprehensive university', 'nonprofit organization', 'public university', 'stiftungshochschule']"
http://www.wikidata.org/entity/Q130611633,H. S. Bathgate,1853,membership,http://www.wikidata.org/entity/Q130974295,Scottish Vegetarian Society,1,nonprofit organization,1830-1859,['nonprofit organization']
http://www.wikidata.org/entity/Q131152,Shirin Ebadi,1947,employment,http://www.wikidata.org/entity/Q737835,University of Tehran,3,cultural property | public university | university campus,1920-1949,"['cultural property', 'public university', 'university campus']"
http://www.wikidata.org/entity/Q131152,Shirin Ebadi,1947,membership,http://www.wikidata.org/entity/Q7045639,Nobel Women's Initiative,2,advocacy group | international organization,1920-1949,"['advocacy group', 'international organization']"
http://www.wikidata.org/entity/Q131240,Anna Politkovskaya,1958,employment,http://www.wikidata.org/entity/Q4330151,Obshchaya Gazeta,2,mass media | weekly newspaper,1950-1979,"['mass media', 'weekly newspaper']"
http://www.wikidata.org/entity/Q131240,Anna Politkovskaya,1958,employment,http://www.wikidata.org/entity/Q753932,Izvestia,2,government gazette | newspaper,1950-1979,"['government gazette', 'newspaper']"
http://www.wikidata.org/entity/Q131240,Anna Politkovskaya,1958,employment,http://www.wikidata.org/entity/Q4286604,Megapolis-Express,1,newspaper,1950-1979,['newspaper']
http://www.wikidata.org/entity/Q131240,Anna Politkovskaya,1958,membership,http://www.wikidata.org/entity/Q170135,Novaya Gazeta,2,newspaper | online newspaper,1950-1979,"['newspaper', 'online newspaper']"
http://www.wikidata.org/entity/Q131240,Anna Politkovskaya,1958,employment,http://www.wikidata.org/entity/Q170135,Novaya Gazeta,2,newspaper | online newspaper,1950-1979,"['newspaper', 'online newspaper']"
http://www.wikidata.org/entity/Q131745023,Q131745023,1911,membership,http://www.wikidata.org/entity/Q1849143,Partisans Armés,1,armed organization,1890-1919,['armed organization']
http://www.wikidata.org/entity/Q131745023,Q131745023,1911,membership,http://www.wikidata.org/entity/Q131821843,Q131821843,1,non-governmental organization,1890-1919,['non-governmental organization']
http://www.wikidata.org/entity/Q131745023,Q131745023,1911,membership,http://www.wikidata.org/entity/Q107921129,World Committee of Women Against War and Fascism,3,international organization | peace organization | women's organization,1890-1919,"['international organization', 'peace organization', ""women's organization""]"
http://www.wikidata.org/entity/Q131745023,Q131745023,1911,membership,http://www.wikidata.org/entity/Q2355718,Independent Front,1,resistance movement,1890-1919,['resistance movement']
http://www.wikidata.org/entity/Q131749632,William Brown,1861,membership,http://www.wikidata.org/entity/Q7373993,Royal College of Veterinary Surgeons,2,accrediting body | professional association,1860-1889,"['accrediting body', 'professional association']"
http://www.wikidata.org/entity/Q131749632,William Brown,1861,membership,http://www.wikidata.org/entity/Q9630,Labour Party,1,political party,1860-1889,['political party']
http://www.wikidata.org/entity/Q132631740,Louise Mackay,1904,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,international organization | non-governmental organization | nonprofit organization | women's organization,1890-1919,"['international organization', 'non-governmental organization', 'nonprofit organization', ""women's organization""]"
http://www.wikidata.org/entity/Q1328650,Stanley Hauerwas,1940,membership,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,3,academic publisher | learned society | nonprofit organization,1920-1949,"['academic publisher', 'learned society', 'nonprofit organization']"
http://www.wikidata.org/entity/Q1328650,Stanley Hauerwas,1940,employment,http://www.wikidata.org/entity/Q5312759,Duke Divinity School,2,faculty | seminary,1920-1949,"['faculty', 'seminary']"
http://www.wikidata.org/entity/Q1328650,Stanley Hauerwas,1940,employment,http://www.wikidata.org/entity/Q178848,University of Notre Dame,5,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,1920-1949,"['academic publisher', 'catholic university', 'open-access publisher', 'private not-for-profit educational institution', 'private university']"
http://www.wikidata.org/entity/Q1328650,Stanley Hauerwas,1940,employment,http://www.wikidata.org/entity/Q168751,Duke University,3,open-access publisher | private not-for-profit educational institution | university,1920-1949,"['open-access publisher', 'private not-for-profit educational institution', 'university']"
http://www.wikidata.org/entity/Q1329154,Elias Sanbar,1947,employment,http://www.wikidata.org/entity/Q1235608,Paris Diderot University,1,university in france,1920-1949,['university in france']
http://www.wikidata.org/entity/Q1329154,Elias Sanbar,1947,employment,http://www.wikidata.org/entity/Q21578,Princeton University,5,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,1920-1949,"['academic publisher', 'colonial colleges', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q1329472,Paul Langdon Ward,1911,employment,http://www.wikidata.org/entity/Q1075116,Colby College,2,liberal arts college in the united states | private not-for-profit educational institution,1890-1919,"['liberal arts college in the united states', 'private not-for-profit educational institution']"
http://www.wikidata.org/entity/Q133281500,Christina Gibb,1929,employment,http://www.wikidata.org/entity/Q17509124,Chilton Saint James School,3,combined school | private school | secondary school,1920-1949,"['combined school', 'private school', 'secondary school']"
http://www.wikidata.org/entity/Q133281500,Christina Gibb,1929,employment,http://www.wikidata.org/entity/Q1150437,Victoria University of Wellington,1,public university,1920-1949,['public university']
http://www.wikidata.org/entity/Q133734026,Henning Zierock,1951,membership,http://www.wikidata.org/entity/Q133734335,Society Culture of Peace,1,peace organization,1950-1979,['peace organization']
http://www.wikidata.org/entity/Q1350058,Helene Scheu-Riesz,1880,membership,http://www.wikidata.org/entity/Q20850669,Verein der Schriftstellerinnen und Künstlerinnen Wien,2,artist collective | women's organization,1860-1889,"['artist collective', ""women's organization""]"
http://www.wikidata.org/entity/Q13560278,Jeanmarie Simpson,1959,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,international organization | non-governmental organization | nonprofit organization | women's organization,1950-1979,"['international organization', 'non-governmental organization', 'nonprofit organization', ""women's organization""]"
http://www.wikidata.org/entity/Q13562542,Mabel Vernon,1883,membership,http://www.wikidata.org/entity/Q623009,National Woman's Party,2,organization | political party,1860-1889,"['organization', 'political party']"
http://www.wikidata.org/entity/Q13562542,Mabel Vernon,1883,membership,http://www.wikidata.org/entity/Q2157083,Silent Sentinels,2,group of humans | protest,1860-1889,"['group of humans', 'protest']"
http://www.wikidata.org/entity/Q1359123,Ninian Smart,1927,employment,http://www.wikidata.org/entity/Q262854,University of Lancaster,6,educational organization | higher education institution | open-access publisher | organization | public research university | university,1920-1949,"['educational organization', 'higher education institution', 'open-access publisher', 'organization', 'public research university', 'university']"
http://www.wikidata.org/entity/Q1359123,Ninian Smart,1927,employment,http://www.wikidata.org/entity/Q472316,University of Nottingham,3,educational organization | higher education institution | public university,1920-1949,"['educational organization', 'higher education institution', 'public university']"
http://www.wikidata.org/entity/Q1359123,Ninian Smart,1927,employment,http://www.wikidata.org/entity/Q263064,"University of California, Santa Barbara",4,public educational institution of the united states | public university | university | university building,1920-1949,"['public educational institution of the united states', 'public university', 'university', 'university building']"
http://www.wikidata.org/entity/Q1359123,Ninian Smart,1927,employment,http://www.wikidata.org/entity/Q223429,University of Birmingham,3,educational organization | open-access publisher | public research university,1920-1949,"['educational organization', 'open-access publisher', 'public research university']"
http://www.wikidata.org/entity/Q1364026,Norman Cousins,1915,employment,http://www.wikidata.org/entity/Q15846515,Saturday Review,1,magazine,1890-1919,['magazine']
http://www.wikidata.org/entity/Q1364026,Norman Cousins,1915,employment,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",5,organization | public educational institution of the united states | public research university | university | university campus,1890-1919,"['organization', 'public educational institution of the united states', 'public research university', 'university', 'university campus']"
http://www.wikidata.org/entity/Q1364026,Norman Cousins,1915,employment,http://www.wikidata.org/entity/Q114857496,World,1,magazine,1890-1919,['magazine']
http://www.wikidata.org/entity/Q1399141,Vittorio Agnoletto,1958,employment,http://www.wikidata.org/entity/Q46210,University of Milan,1,public research university,1950-1979,['public research university']
http://www.wikidata.org/entity/Q1399141,Vittorio Agnoletto,1958,employment,http://www.wikidata.org/entity/Q3803682,Istituto Superiore di Sanità,4,government agency | national health service | national public health institute | open-access publisher,1950-1979,"['government agency', 'national health service', 'national public health institute', 'open-access publisher']"
http://www.wikidata.org/entity/Q139933,Zack de la Rocha,1970,membership,http://www.wikidata.org/entity/Q72092,Rage Against the Machine,2,musical group | rock band,1950-1979,"['musical group', 'rock band']"
http://www.wikidata.org/entity/Q1399562,Emil Grunzweig,1947,membership,http://www.wikidata.org/entity/Q1351415,Peace Now,3,non-governmental organization | organization | publishing company,1920-1949,"['non-governmental organization', 'organization', 'publishing company']"
http://www.wikidata.org/entity/Q1430385,Floyd Schmoe,1895,employment,http://www.wikidata.org/entity/Q219563,University of Washington,1,public university,1890-1919,['public university']
http://www.wikidata.org/entity/Q1445267,Marc H. Ellis,1952,employment,http://www.wikidata.org/entity/Q861548,Florida State University,2,public educational institution of the united states | public university,1950-1979,"['public educational institution of the united states', 'public university']"
http://www.wikidata.org/entity/Q1445267,Marc H. Ellis,1952,employment,http://www.wikidata.org/entity/Q13371,Harvard University,4,colonial colleges | private not-for-profit educational institution | private university | research university,1950-1979,"['colonial colleges', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q1462173,Alfred-Maurice de Zayas,1947,employment,http://www.wikidata.org/entity/Q1065,United Nations,2,intergovernmental organization | international organization,1920-1949,"['intergovernmental organization', 'international organization']"
http://www.wikidata.org/entity/Q1462173,Alfred-Maurice de Zayas,1947,membership,http://www.wikidata.org/entity/Q1135012,Corps Rhenania Tübingen,1,studentenverbindung,1920-1949,['studentenverbindung']
http://www.wikidata.org/entity/Q14932657,Julia Grace Wales,1881,employment,http://www.wikidata.org/entity/Q838330,University of Wisconsin–Madison,3,land-grant university | public educational institution of the united states | public research university,1860-1889,"['land-grant university', 'public educational institution of the united states', 'public research university']"
http://www.wikidata.org/entity/Q14932657,Julia Grace Wales,1881,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,international organization | non-governmental organization | nonprofit organization | women's organization,1860-1889,"['international organization', 'non-governmental organization', 'nonprofit organization', ""women's organization""]"
http://www.wikidata.org/entity/Q149557,Justin Raimondo,1951,employment,http://www.wikidata.org/entity/Q149670,Antiwar.com,3,501(c)(3) organization | magazine | website,1950-1979,"['501(c)(3) organization', 'magazine', 'website']"
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,employment,http://www.wikidata.org/entity/Q511735,Commonweal,1,magazine,1890-1919,['magazine']
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,membership,http://www.wikidata.org/entity/Q1046722,Industrial Workers of the World,2,international organization | labor union,1890-1919,"['international organization', 'labor union']"
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,employment,http://www.wikidata.org/entity/Q1544011,Pathé,3,cinema chain | film production company | film studio,1890-1919,"['cinema chain', 'film production company', 'film studio']"
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,employment,http://www.wikidata.org/entity/Q7747057,The Liberator,1,magazine,1890-1919,['magazine']
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,membership,http://www.wikidata.org/entity/Q2157083,Silent Sentinels,2,group of humans | protest,1890-1919,"['group of humans', 'protest']"
