uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q450821,Tanya Reinhart,1943,employment,http://www.wikidata.org/entity/Q168751,Duke University,3,private not-for-profit educational institution | open-access publisher | university,1941-1960
http://www.wikidata.org/entity/Q450821,Tanya Reinhart,1943,employment,http://www.wikidata.org/entity/Q319239,Tel Aviv University,3,open-access publisher | university | Ottoman Association,1941-1960
http://www.wikidata.org/entity/Q450821,Tanya Reinhart,1943,employment,http://www.wikidata.org/entity/Q49210,New York University,4,research university | private university | workplace | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q450821,Tanya Reinhart,1943,employment,http://www.wikidata.org/entity/Q221653,Utrecht University,1,public research university,1941-1960
http://www.wikidata.org/entity/Q4537102,Sahabzada Yaqub Khan,1920,membership,http://www.wikidata.org/entity/Q115898215,Academy of the Kingdom of  for Royaume,2,publishing company | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q4537102,Sahabzada Yaqub Khan,1920,employment,http://www.wikidata.org/entity/Q1065,United Nations,2,intergovernmental organization | international organization,1901-1920
http://www.wikidata.org/entity/Q459310,Hamid Dabashi,1951,employment,http://www.wikidata.org/entity/Q49088,Columbia University,5,research university | private university | Colonial Colleges | private not-for-profit educational institution | organization,1941-1960
http://www.wikidata.org/entity/Q463478,Aletta Jacobs,1854,membership,http://www.wikidata.org/entity/Q60564688,International Committee of Women for Permanent Peace,3,women's organization | international organization | peace organization,1851-1900
http://www.wikidata.org/entity/Q463478,Aletta Jacobs,1854,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,women's organization | international organization | nonprofit organization | non-governmental organization,1851-1900
http://www.wikidata.org/entity/Q4661971,Aaron Dixon,1949,membership,http://www.wikidata.org/entity/Q189150,Black Panther Party,1,political organization,1941-1960
http://www.wikidata.org/entity/Q4669120,Abraham Osheroff,1915,employment,http://www.wikidata.org/entity/Q6175579,Jefferson School of Social Science,1,Labor school,1901-1920
http://www.wikidata.org/entity/Q4669120,Abraham Osheroff,1915,membership,http://www.wikidata.org/entity/Q1825722,Abraham Lincoln Brigade,1,mixed brigade,1901-1920
http://www.wikidata.org/entity/Q47457583,Anna Kleman,1862,membership,http://www.wikidata.org/entity/Q18333240,National Council of Swedish Women,1,organization,1851-1900
http://www.wikidata.org/entity/Q47457583,Anna Kleman,1862,employment,http://www.wikidata.org/entity/Q10561469,Q10561469,1,business,1851-1900
http://www.wikidata.org/entity/Q47457583,Anna Kleman,1862,membership,http://www.wikidata.org/entity/Q60564688,International Committee of Women for Permanent Peace,3,women's organization | international organization | peace organization,1851-1900
http://www.wikidata.org/entity/Q4747270,Ammon Hennacy,1893,membership,http://www.wikidata.org/entity/Q1046722,Industrial Workers of the World,2,international organization | labor union,1851-1900
http://www.wikidata.org/entity/Q4758087,Andrew Murray,1958,membership,http://www.wikidata.org/entity/Q1571260,Stop the War Coalition,3,propagandist | peace organization | advocacy group,1941-1960
http://www.wikidata.org/entity/Q4758087,Andrew Murray,1958,membership,http://www.wikidata.org/entity/Q24298876,General Council of the Trades Union Congress,1,council,1941-1960
http://www.wikidata.org/entity/Q482708,Ham Seok-heon,1901,membership,http://www.wikidata.org/entity/Q170208,Quakers,3,Christian denominational family | worldview | religion,1901-1920
http://www.wikidata.org/entity/Q48779,Ukshin Hoti,1943,employment,http://www.wikidata.org/entity/Q1630703,University of Pristina (1969–1999),1,university,1941-1960
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q2268652,International Academy of Quantum Molecular Science,1,learned society,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q270794,National Academy of Sciences,4,academic publisher | production company | publishing company | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q188771,French Academy of Sciences,3,national academy | archive | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q684415,Bavarian Academy of Sciences and Humanities,3,organization | book publisher | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,employment,http://www.wikidata.org/entity/Q622664,"University of California, San Diego",2,public educational institution of the United States | public university,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q337555,Académie Nationale de Médecine,1,national academy,1901-1920
