p,propLabel,eff
http://www.wikidata.org/prop/direct/P512,academic degree,55
http://www.wikidata.org/prop/direct/P10302,Film.ru person ID,55
http://www.wikidata.org/prop/direct/P11182,UOM ID,55
http://www.wikidata.org/prop/direct/P1415,Oxford Dictionary of National Biography ID,54
http://www.wikidata.org/prop/direct/P3029,UK National Archives ID,54
http://www.wikidata.org/prop/direct/P264,record label,52
http://www.wikidata.org/prop/direct/P3365,Treccani ID,52
http://www.wikidata.org/prop/direct/P7305,Online PWN Encyclopedia ID,52
http://www.wikidata.org/prop/direct/P7763,copyright status as a creator,52
http://www.wikidata.org/prop/direct/P241,military branch,51
http://www.wikidata.org/prop/direct/P1296,Gran Enciclopèdia Catalana ID (former scheme),51
http://www.wikidata.org/prop/direct/P1971,number of children,51
http://www.wikidata.org/prop/direct/P3847,Open Library subject ID,51
http://www.wikidata.org/prop/direct/P6722,FemBio ID,51
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,51
http://www.wikidata.org/prop/direct/P935,Commons gallery,50
http://www.wikidata.org/prop/direct/P5731,Angelicum ID,50
http://www.wikidata.org/prop/direct/P4619,National Library of Brazil ID,49
http://www.wikidata.org/prop/direct/P8462,Political Graveyard politician ID,49
http://www.wikidata.org/prop/direct/P1617,BBC Things ID,48
http://www.wikidata.org/prop/direct/P2734,Unz Review author ID,48
http://www.wikidata.org/prop/direct/P1225,U.S. National Archives Identifier,47
http://www.wikidata.org/prop/direct/P3342,significant person,47
http://www.wikidata.org/prop/direct/P4293,PM20 folder ID,47
http://www.wikidata.org/prop/direct/P1442,image of grave,46
http://www.wikidata.org/prop/direct/P6683,Alexander Turnbull Library ID,45
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,45
http://www.wikidata.org/prop/direct/P2605,ČSFD person ID,44
http://www.wikidata.org/prop/direct/P3280,BAnQ authority ID,43
http://www.wikidata.org/prop/direct/P4862,Amazon author ID,43
http://www.wikidata.org/prop/direct/P1816,National Portrait Gallery (London) person ID,42
http://www.wikidata.org/prop/direct/P4104,Carnegie Hall agent ID,42
http://www.wikidata.org/prop/direct/P10632,OpenSanctions ID,42
http://www.wikidata.org/prop/direct/P742,pseudonym,41
http://www.wikidata.org/prop/direct/P3219,Encyclopædia Universalis ID,40
http://www.wikidata.org/prop/direct/P3360,Nobel Prize People Nomination ID,40
http://www.wikidata.org/prop/direct/P5617,Evene ID,40
http://www.wikidata.org/prop/direct/P5739,Pontificia Università della Santa Croce ID,40
http://www.wikidata.org/prop/direct/P6394,ELNET ID,40
http://www.wikidata.org/prop/direct/P185,doctoral student,38
http://www.wikidata.org/prop/direct/P866,Perlentaucher ID,38
http://www.wikidata.org/prop/direct/P1938,Project Gutenberg author ID,38
http://www.wikidata.org/prop/direct/P2607,BookBrainz author ID,38
http://www.wikidata.org/prop/direct/P2889,FamilySearch person ID,38
http://www.wikidata.org/prop/direct/P1472,Commons Creator page,37
http://www.wikidata.org/prop/direct/P6104,maintained by WikiProject,37
http://www.wikidata.org/prop/direct/P10297,Google Arts & Culture entity ID,37
http://www.wikidata.org/prop/direct/P1017,Vatican Library ID (former scheme),36
http://www.wikidata.org/prop/direct/P10242,Lur Encyclopedic Dictionary ID,36
http://www.wikidata.org/prop/direct/P10608,FID performing arts ID,36
http://www.wikidata.org/prop/direct/P3846,DBC author ID,35
http://www.wikidata.org/prop/direct/P5882,Muziekweb performer ID,35
http://www.wikidata.org/prop/direct/P12854,Plex person key,35
http://www.wikidata.org/prop/direct/P7369,National Library of Chile ID,34
http://www.wikidata.org/prop/direct/P4666,CineMagia person ID,33
http://www.wikidata.org/prop/direct/P8168,FactGrid item ID,33
http://www.wikidata.org/prop/direct/P1819,genealogics.org person ID,32
http://www.wikidata.org/prop/direct/P2003,Instagram username,32
http://www.wikidata.org/prop/direct/P7578,DUC ID,32
http://www.wikidata.org/prop/direct/P3478,Songkick artist ID,31
http://www.wikidata.org/prop/direct/P5421,Trading Card Database person ID,31
http://www.wikidata.org/prop/direct/P8094,GeneaStar person ID,31
http://www.wikidata.org/prop/direct/P8349,Proleksis enciklopedija ID,31
http://www.wikidata.org/prop/direct/P8849,CONOR.BG ID,31
http://www.wikidata.org/prop/direct/P245,Union List of Artist Names ID,30
http://www.wikidata.org/prop/direct/P1416,affiliation,30
http://www.wikidata.org/prop/direct/P7666,Visuotinė lietuvių enciklopedija ID,30
http://www.wikidata.org/prop/direct/P8851,CONOR.SR ID,30
http://www.wikidata.org/prop/direct/P12749,SNARC ID,30
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,29
http://www.wikidata.org/prop/direct/P1233,Internet Speculative Fiction Database author ID,29
http://www.wikidata.org/prop/direct/P451,unmarried partner,27
http://www.wikidata.org/prop/direct/P2850,Apple Music artist ID (U.S. version),27
http://www.wikidata.org/prop/direct/P5905,Comic Vine ID,27
http://www.wikidata.org/prop/direct/P7029,National Library of Russia ID,27
http://www.wikidata.org/prop/direct/P10069,Tabakalera ID,27
http://www.wikidata.org/prop/direct/P10565,Encyclopedia of China (Third Edition) ID,27
http://www.wikidata.org/prop/direct/P11870,The Literary Encyclopedia person ID,27
http://www.wikidata.org/prop/direct/P12597,museum-digital person ID,27
http://www.wikidata.org/prop/direct/P2604,Kinopoisk person ID,26
http://www.wikidata.org/prop/direct/P2924,Great Russian Encyclopedia Online ID (old version),26
http://www.wikidata.org/prop/direct/P3154,Runeberg author ID,26
http://www.wikidata.org/prop/direct/P9037,BHCL UUID,26
http://www.wikidata.org/prop/direct/P1266,AlloCiné person ID,25
http://www.wikidata.org/prop/direct/P1728,AllMusic artist ID,25
http://www.wikidata.org/prop/direct/P2019,AllMovie person ID,25
http://www.wikidata.org/prop/direct/P2397,YouTube channel ID,25
http://www.wikidata.org/prop/direct/P5063,Interlingual Index ID,25
http://www.wikidata.org/prop/direct/P9371,FranceArchives agent ID,25
http://www.wikidata.org/prop/direct/P13613,Enciclopedia Galega Universal ID,25
http://www.wikidata.org/prop/direct/P1309,EGAXA ID,24
http://www.wikidata.org/prop/direct/P7865,CoBiS author ID,24
http://www.wikidata.org/prop/direct/P9171,RILM ID,24
http://www.wikidata.org/prop/direct/P9743,Podchaser creator ID,24
http://www.wikidata.org/prop/direct/P9995,MYmovies person ID,24
http://www.wikidata.org/prop/direct/P13166,PUG authority ID,24
http://www.wikidata.org/prop/direct/P184,doctoral advisor,23
http://www.wikidata.org/prop/direct/P701,Dodis ID,23
http://www.wikidata.org/prop/direct/P1248,KulturNav-ID,23
http://www.wikidata.org/prop/direct/P2966,National Library of Wales Authority ID,23
http://www.wikidata.org/prop/direct/P4638,The Peerage person ID,23
http://www.wikidata.org/prop/direct/P4839,Wolfram Language entity code,23
http://www.wikidata.org/prop/direct/P8814,WordNet 3.1 Synset ID,23
http://www.wikidata.org/prop/direct/P172,ethnic group,22
http://www.wikidata.org/prop/direct/P1050,has medical condition,22
http://www.wikidata.org/prop/direct/P1220,Internet Broadway Database person ID,22
http://www.wikidata.org/prop/direct/P1814,name in kana,22
http://www.wikidata.org/prop/direct/P2188,BiblioNet author ID,22
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,22
http://www.wikidata.org/prop/direct/P2632,place of detention,22
http://www.wikidata.org/prop/direct/P5340,American Film Institute person ID,22
http://www.wikidata.org/prop/direct/P6385,Krugosvet article,22
http://www.wikidata.org/prop/direct/P6821,Alvin ID,22
http://www.wikidata.org/prop/direct/P9178,Biblioteca Franco Serantini ID,22
http://www.wikidata.org/prop/direct/P9662,LdiF person ID,22
http://www.wikidata.org/prop/direct/P1066,student of,21
http://www.wikidata.org/prop/direct/P1157,US Congress Bio ID,21
http://www.wikidata.org/prop/direct/P1399,convicted of,21
http://www.wikidata.org/prop/direct/P1449,nickname,21
http://www.wikidata.org/prop/direct/P6488,Enciclopedia delle donne ID,21
http://www.wikidata.org/prop/direct/P6706,De Agostini ID,21
http://www.wikidata.org/prop/direct/P8980,KANTO ID,21
http://www.wikidata.org/prop/direct/P9247,Pontifical University of Salamanca ID,21
http://www.wikidata.org/prop/direct/P410,military or police rank,20
http://www.wikidata.org/prop/direct/P1899,LibriVox author ID,20
http://www.wikidata.org/prop/direct/P2435,PORT person ID,20
http://www.wikidata.org/prop/direct/P3192,Last.fm ID,20
http://www.wikidata.org/prop/direct/P6844,abART person ID,20
http://www.wikidata.org/prop/direct/P7847,DigitaltMuseum ID,20
http://www.wikidata.org/prop/direct/P10780,Radio France person ID,20
http://www.wikidata.org/prop/direct/P2626,Danish National Filmography person ID,19
http://www.wikidata.org/prop/direct/P3388,LittleSis people ID,19
http://www.wikidata.org/prop/direct/P4724,Maitron ID,19
http://www.wikidata.org/prop/direct/P6594,Guggenheim fellows ID,19
http://www.wikidata.org/prop/direct/P8496,Archive Site Trinity College Cambridge ID,19
http://www.wikidata.org/prop/direct/P723,Digitale Bibliotheek voor de Nederlandse Letteren author ID,18
