"subject_uri","birthYear","country","nationality"
"http://dbpedia.org/resource/Nelson_Mandela",1918,"Union_of_South_Africa",
"http://dbpedia.org/resource/France_Hamelin",1918,,
"http://dbpedia.org/resource/Pete_Seeger",1919,,
"http://dbpedia.org/resource/Simonne_Monet-Chartrand",1919,,
"http://dbpedia.org/resource/Frances_Crowe",1919,,
"http://dbpedia.org/resource/Lawrence_Ferlinghetti",1919,,
"http://dbpedia.org/resource/Elise_M._Boulding",1920,"Norway",
"http://dbpedia.org/resource/Chiara_Lubich",1920,"Italy",
"http://dbpedia.org/resource/Pope_John_Paul_II",1920,"Second_Polish_Republic",
"http://dbpedia.org/resource/Alex_Comfort",1920,,
"http://dbpedia.org/resource/Ursula_Franklin",1921,"Weimar_Republic","German-Canadian"
"http://dbpedia.org/resource/Andrei_Sakharov",1921,"Russian_SFSR","Russian_Soviet_Federative_Socialist_Republic"
"http://dbpedia.org/resource/Daniel_Berrigan",1921,,
"http://dbpedia.org/resource/Devi_Prasad_(artist)",1921,"British_Raj","Indian"
"http://dbpedia.org/resource/Devi_Prasad_(artist)",1921,"British_Raj","India"
"http://dbpedia.org/resource/Sophie_Scholl",1921,,"German"
"http://dbpedia.org/resource/Edith_Ballantyne",1922,"First_Czechoslovak_Republic","Canadian"
"http://dbpedia.org/resource/Howard_Zinn",1922,,
"http://dbpedia.org/resource/George_McGovern",1922,,
"http://dbpedia.org/resource/Kurt_Vonnegut",1922,,
"http://dbpedia.org/resource/Walter_Wolfgang",1923,,"British"
"http://dbpedia.org/resource/Norman_Mailer",1923,,"American"
"http://dbpedia.org/resource/Mattityahu_Peled",1923,"Mandatory_Palestine",
"http://dbpedia.org/resource/Uri_Avnery",1923,"Weimar_Republic",
"http://dbpedia.org/resource/Philip_Berrigan",1923,,
"http://dbpedia.org/resource/William_Sloane_Coffin",1924,,"American"
"http://dbpedia.org/resource/Hedy_Epstein",1924,,
"http://dbpedia.org/resource/Jimmy_Carter",1924,,
"http://dbpedia.org/resource/Wahiduddin_Khan",1925,"British_India","Indian"
"http://dbpedia.org/resource/Helmuth_Hübener",1925,"Weimar_Republic",
"http://dbpedia.org/resource/Paul_Newman",1925,,
"http://dbpedia.org/resource/Christopher_Weeramantry",1926,,"Sri Lankan"
"http://dbpedia.org/resource/Geoffrey_Ostergaard",1926,,"British"
"http://dbpedia.org/resource/Thích_Nhất_Hạnh",1926,"French_Indochina",
"http://dbpedia.org/resource/Thích_Nhất_Hạnh",1926,"Annam_(French_protectorate)",
"http://dbpedia.org/resource/Murray_Rothbard",1926,,
"http://dbpedia.org/resource/Allen_Ginsberg",1926,,
"http://dbpedia.org/resource/Abie_Nathan",1927,"Persia",
"http://dbpedia.org/resource/Abie_Nathan",1927,"Abadan",
"http://dbpedia.org/resource/Olof_Palme",1927,"Sweden",
"http://dbpedia.org/resource/Bradford_Lyttle",1927,,
"http://dbpedia.org/resource/Coretta_Scott_King",1927,,
"http://dbpedia.org/resource/Cesar_Chavez",1927,,
"http://dbpedia.org/resource/Harry_Belafonte",1927,,
"http://dbpedia.org/resource/Ramsey_Clark",1927,,
"http://dbpedia.org/resource/Gene_Sharp",1928,,
"http://dbpedia.org/resource/Noam_Chomsky",1928,,
"http://dbpedia.org/resource/Jim_Radford",1928,,
"http://dbpedia.org/resource/Daisaku_Ikeda",1928,,
"http://dbpedia.org/resource/Douglas_Roche",1929,,"Canadians"
"http://dbpedia.org/resource/Marjorie_Bradford_Melville",1929,"Mexico",
"http://dbpedia.org/resource/David_McReynolds",1929,,
"http://dbpedia.org/resource/Staughton_Lynd",1929,,
"http://dbpedia.org/resource/Brigid_Brophy",1929,,
"http://dbpedia.org/resource/Bruce_Kent",1929,,
"http://dbpedia.org/resource/Martin_Luther_King_Jr.",1929,,
"http://dbpedia.org/resource/Megan_Rice",1930,,
"http://dbpedia.org/resource/Mikhail_Gorbachev",1931,"Russian_Soviet_Federative_Socialist_Republic","Russian"
