"subject_uri","property_uri","object_uri","label"
"http://dbpedia.org/resource/David_Dean_Shulman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cultural_anthropologist","Cultural anthropologist"
"http://dbpedia.org/resource/David_Dean_Shulman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Tom_Fox_(Quaker)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Peter_Tatchell","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Journalist","Journalist"
"http://dbpedia.org/resource/José_Bové","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Syndicalist","Syndicalist"
"http://dbpedia.org/resource/Edip_Yüksel","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Inventor","Inventor"
"http://dbpedia.org/resource/Edip_Yüksel","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Professor","Professor"
"http://dbpedia.org/resource/Edip_Yüksel","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author"
"http://dbpedia.org/resource/Edip_Yüksel","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Laurence_Overmire","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Educator","Educator"
"http://dbpedia.org/resource/Laurence_Overmire","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Poet","Poet"
"http://dbpedia.org/resource/Laurence_Overmire","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author"
"http://dbpedia.org/resource/Laurence_Overmire","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Actor","Actor"
"http://dbpedia.org/resource/Laurence_Overmire","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Genealogist","Genealogist"
"http://dbpedia.org/resource/Craig_Murray","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author"
"http://dbpedia.org/resource/Craig_Murray","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Ambassador","Ambassador"
"http://dbpedia.org/resource/Craig_Murray","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Journalist","Journalist"
"http://dbpedia.org/resource/Craig_Murray","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Human_rights_defender","Human rights defender"
"http://dbpedia.org/resource/Rigoberta_Menchú","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Politician","Politician"
"http://dbpedia.org/resource/Rigoberta_Menchú","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Jeanmarie_Simpson","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Gabriele_Moreno_Locatelli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Student","Student"
"http://dbpedia.org/resource/Gabriele_Moreno_Locatelli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Dekha_Ibrahim_Abdi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activism","Activism"
"http://dbpedia.org/resource/Samantha_Smith","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Leymah_Gbowee","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Vittorio_Arrigoni","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/International_Solidarity_Movement","International Solidarity Movement"
"http://dbpedia.org/resource/Alaa_Murabit","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Alaa_Murabit","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Security","Security"
"http://dbpedia.org/resource/Alaa_Murabit","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Women's_rights","Women's rights"
"http://dbpedia.org/resource/Alaa_Murabit","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Medical_Doctor","Medical Doctor"
"http://dbpedia.org/resource/Angelo_Cardona","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Public_speaker","Public speaker"
"http://dbpedia.org/resource/Angelo_Cardona","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_Activist","Peace Activist"
"http://dbpedia.org/resource/Malala_Yousafzai","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Female_education","Female education"
"http://dbpedia.org/resource/Angelo_Cardona","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Human_rights_defender","Human rights defender"
"http://dbpedia.org/resource/Angelo_Cardona","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Social_entrepreneur","Social entrepreneur"
